date,home_team,scores,away_team
07-03-2025,Nott'm Forest,1 - 0,Man City
14-03-2025,Ipswich,2 - 4,Nott'm Forest
31-03-2025,Nott'm Forest,1 - 0,Man United
04-04-2025,Aston Villa,2 - 1,Nott'm Forest
11-04-2025,Nott'm Forest,0 - 1,Everton
16-08-2024,Newcastle,1 - 0,Southampton
23-08-2024,Southampton,0 - 1,Nott'm Forest
30-08-2024,Brentford,3 - 1,Southampton
13-09-2024,Southampton,0 - 3,Man United
20-09-2024,Southampton,1 - 1,Ipswich
29-09-2024,Bournemouth,3 - 1,Southampton
04-10-2024,Arsenal,3 - 1,Southampton
18-10-2024,Southampton,2 - 3,Leicester
25-10-2024,Man City,1 - 0,Southampton
01-11-2024,Southampton,1 - 0,Everton
08-11-2024,Wolves,2 - 0,Southampton
23-11-2024,Southampton,2 - 3,Liverpool
28-11-2024,Brighton,1 - 1,Southampton
03-12-2024,Southampton,1 - 5,Chelsea
06-12-2024,Aston Villa,1 - 0,Southampton
14-12-2024,Southampton,0 - 5,Tottenham
21-12-2024,Fulham,0 - 0,Southampton
25-12-2024,Southampton,0 - 1,West Ham
28-12-2024,Crystal Palace,2 - 1,Southampton
03-01-2025,Southampton,0 - 5,Brentford
15-01-2025,Man United,3 - 1,Southampton
18-01-2025,Nott'm Forest,3 - 2,Southampton
24-01-2025,Southampton,1 - 3,Newcastle
31-01-2025,Ipswich,1 - 2,Southampton
14-02-2025,Southampton,1 - 3,Bournemouth
21-02-2025,Southampton,0 - 4,Brighton
24-02-2025,Chelsea,4 - 0,Southampton
07-03-2025,Liverpool,3 - 1,Southampton
14-03-2025,Southampton,1 - 2,Wolves
01-04-2025,Southampton,1 - 1,Crystal Palace
05-04-2025,Tottenham,3 - 1,Southampton
11-04-2025,Southampton,0 - 3,Aston Villa
18-08-2024,Leicester,1 - 1,Tottenham
23-08-2024,Tottenham,4 - 0,Everton
31-08-2024,Newcastle,2 - 1,Tottenham
14-09-2024,Tottenham,0 - 1,Arsenal
20-09-2024,Tottenham,3 - 1,Brentford
28-09-2024,Man United,0 - 3,Tottenham
05-10-2024,Brighton,3 - 2,Tottenham
18-10-2024,Tottenham,4 - 1,West Ham
26-10-2024,Crystal Palace,1 - 0,Tottenham
02-11-2024,Tottenham,4 - 1,Aston Villa
09-11-2024,Tottenham,1 - 2,Ipswich
22-11-2024,Man City,0 - 4,Tottenham
30-11-2024,Tottenham,1 - 1,Fulham
04-12-2024,Bournemouth,1 - 0,Tottenham
07-12-2024,Tottenham,3 - 4,Chelsea
14-12-2024,Southampton,0 - 5,Tottenham
21-12-2024,Tottenham,3 - 6,Liverpool
25-12-2024,Nott'm Forest,1 - 0,Tottenham
28-12-2024,Tottenham,2 - 2,Wolves
03-01-2025,Tottenham,1 - 2,Newcastle
14-01-2025,Arsenal,2 - 1,Tottenham
18-01-2025,Everton,3 - 2,Tottenham
25-01-2025,Tottenham,1 - 2,Leicester
01-02-2025,Brentford,0 - 2,Tottenham
15-02-2025,Tottenham,1 - 0,Man United
21-02-2025,Ipswich,1 - 4,Tottenham
25-02-2025,Tottenham,0 - 1,Man City
08-03-2025,Tottenham,2 - 2,Bournemouth
15-03-2025,Fulham,2 - 0,Tottenham
02-04-2025,Chelsea,1 - 0,Tottenham
05-04-2025,Tottenham,3 - 1,Southampton
16-08-2024,West Ham,1 - 2,Aston Villa
23-08-2024,Crystal Palace,0 - 2,West Ham
30-08-2024,West Ham,1 - 3,Man City
